maintenance_id,truck_id,maintenance_date,maintenance_type,repair_cost,downtime_hours
M0001,T089,2026-01-06 09:01:36.553099,Tyre,28028,18
M0002,T053,2026-07-24 09:01:36.553099,Electrical,26777,40
M0003,T024,2026-05-04 09:01:36.553099,Engine,13658,25
M0004,T082,2025-12-13 09:01:36.553099,Brake,18590,30
M0005,T020,2025-10-05 09:01:36.554099,Oil Change,21608,11
M0006,T044,2026-01-01 09:01:36.554099,Engine,6894,11
M0007,T041,2025-11-14 09:01:36.554099,Engine,27301,39
M0008,T089,2026-03-25 09:01:36.554099,Oil Change,13917,36
M0009,T037,2025-09-17 09:01:36.554099,Tyre,17617,48
M0010,T095,2026-07-03 09:01:36.554099,Brake,16907,17
M0011,T081,2026-06-12 09:01:36.554099,Oil Change,19789,6
M0012,T024,2026-07-27 09:01:36.554099,Brake,3770,7
M0013,T007,2026-07-17 09:01:36.554099,Electrical,16004,34
M0014,T006,2026-05-19 09:01:36.554099,Tyre,23556,37
M0015,T054,2025-11-06 09:01:36.554099,Engine,22941,6
M0016,T059,2026-08-22 09:01:36.554099,Oil Change,10546,46
M0017,T005,2025-10-29 09:01:36.555099,Brake,20603,11
M0018,T046,2026-07-25 09:01:36.555099,Electrical,21297,41
M0019,T033,2025-09-26 09:01:36.555099,Tyre,6839,40
M0020,T041,2026-07-22 09:01:36.555099,Oil Change,4343,13
M0021,T023,2026-07-06 09:01:36.555099,Oil Change,13707,18
M0022,T032,2026-05-27 09:01:36.555099,Electrical,15889,13
M0023,T021,2026-09-06 09:01:36.555099,Tyre,29087,20
M0024,T020,2026-07-05 09:01:36.555099,Engine,13310,13
M0025,T049,2025-10-04 09:01:36.555099,Tyre,23449,18
M0026,T076,2025-10-21 09:01:36.555099,Oil Change,28852,14
M0027,T025,2026-09-16 09:01:36.555099,Electrical,27753,14
M0028,T026,2026-04-21 09:01:36.555099,Tyre,10897,30
M0029,T003,2026-04-13 09:01:36.555099,Electrical,28545,35
M0030,T064,2025-12-30 09:01:36.555099,Electrical,20009,23
M0031,T002,2026-05-01 09:01:36.556099,Oil Change,1681,12
M0032,T002,2026-03-09 09:01:36.556099,Electrical,23384,26
M0033,T099,2025-12-31 09:01:36.556099,Tyre,3338,41
M0034,T099,2026-04-09 09:01:36.556099,Brake,26821,45
M0035,T058,2026-01-05 09:01:36.556099,Tyre,21444,46
M0036,T024,2026-02-25 09:01:36.556099,Oil Change,21796,44
M0037,T027,2026-06-27 09:01:36.556099,Electrical,25283,22
M0038,T054,2026-05-20 09:01:36.556099,Tyre,7061,30
M0039,T064,2026-01-17 09:01:36.556099,Tyre,27043,12
M0040,T021,2026-03-17 09:01:36.556099,Electrical,6033,3
M0041,T054,2026-08-06 09:01:36.556099,Oil Change,12445,36
M0042,T011,2026-07-06 09:01:36.556099,Electrical,5385,3
M0043,T084,2026-03-12 09:01:36.556099,Electrical,24760,12
M0044,T020,2025-11-17 09:01:36.557099,Tyre,4834,6
M0045,T042,2026-02-18 09:01:36.557099,Brake,2377,11
M0046,T076,2026-04-07 09:01:36.557099,Tyre,25820,44
M0047,T090,2025-11-23 09:01:36.557099,Oil Change,8621,29
M0048,T032,2026-01-22 09:01:36.557099,Brake,22160,28
M0049,T023,2025-11-02 09:01:36.557099,Tyre,22760,13
M0050,T006,2026-02-08 09:01:36.557099,Oil Change,3490,23
M0051,T085,2026-05-07 09:01:36.557099,Electrical,17854,3
M0052,T083,2025-10-09 09:01:36.557099,Electrical,12129,8
M0053,T025,2026-06-04 09:01:36.557099,Engine,8308,43
M0054,T069,2026-08-27 09:01:36.557099,Engine,9932,38
M0055,T069,2026-05-25 09:01:36.557099,Brake,3104,43
M0056,T011,2026-06-18 09:01:36.557099,Brake,4092,13
M0057,T010,2026-03-10 09:01:36.557099,Tyre,17756,44
M0058,T015,2025-09-17 09:01:36.558099,Tyre,18639,11
M0059,T056,2025-12-12 09:01:36.558099,Oil Change,18556,33
M0060,T052,2026-04-17 09:01:36.558099,Engine,4407,39
M0061,T015,2025-12-19 09:01:36.558099,Tyre,9589,37
M0062,T069,2026-08-18 09:01:36.558099,Oil Change,11135,21
M0063,T097,2026-07-10 09:01:36.558099,Engine,2395,26
M0064,T023,2025-11-29 09:01:36.558099,Electrical,17312,30
M0065,T082,2025-12-22 09:01:36.558099,Oil Change,9013,22
M0066,T067,2026-04-02 09:01:36.558099,Oil Change,21899,27
M0067,T037,2026-02-24 09:01:36.558099,Tyre,26397,9
M0068,T077,2026-02-06 09:01:36.558099,Brake,8133,20
M0069,T085,2026-06-16 09:01:36.558099,Engine,21005,11
M0070,T092,2026-02-05 09:01:36.558099,Brake,6866,6
M0071,T025,2026-06-15 09:01:36.558099,Engine,11015,46
M0072,T009,2026-08-24 09:01:36.559099,Tyre,6344,41
M0073,T033,2025-12-18 09:01:36.559099,Brake,27078,9
M0074,T037,2026-01-11 09:01:36.559099,Electrical,29835,38
M0075,T099,2025-09-23 09:01:36.559099,Engine,3950,32
M0076,T079,2026-01-31 09:01:36.559099,Brake,28046,28
M0077,T076,2025-11-08 09:01:36.559099,Electrical,21085,19
M0078,T074,2025-09-28 09:01:36.559099,Electrical,4163,43
M0079,T021,2025-12-27 09:01:36.559099,Brake,4633,37
M0080,T003,2026-08-18 09:01:36.559099,Brake,29678,29
M0081,T055,2026-02-19 09:01:36.559099,Engine,25166,46
M0082,T096,2026-06-22 09:01:36.559099,Engine,3044,2
M0083,T045,2026-06-08 09:01:36.559099,Brake,18669,23
M0084,T025,2025-12-12 09:01:36.559099,Oil Change,7178,8
M0085,T001,2026-04-05 09:01:36.559099,Engine,11703,13
M0086,T035,2026-05-14 09:01:36.560099,Electrical,8698,37
M0087,T091,2026-09-16 09:01:36.560099,Tyre,19125,46
M0088,T021,2026-02-15 09:01:36.560099,Electrical,6600,44
M0089,T100,2025-12-01 09:01:36.560099,Electrical,3046,5
M0090,T058,2026-02-25 09:01:36.560099,Electrical,23855,29
M0091,T021,2026-01-25 09:01:36.560099,Oil Change,8997,16
M0092,T023,2025-12-06 09:01:36.560099,Brake,29901,34
M0093,T079,2026-03-03 09:01:36.560099,Brake,8028,32
M0094,T053,2026-08-05 09:01:36.560099,Electrical,12017,42
M0095,T015,2025-10-28 09:01:36.560099,Electrical,27585,27
M0096,T023,2026-02-25 09:01:36.560099,Oil Change,4432,17
M0097,T056,2025-12-08 09:01:36.560099,Tyre,26459,8
M0098,T001,2026-08-09 09:01:36.560099,Brake,6080,44
M0099,T065,2026-06-28 09:01:36.561099,Brake,8392,47
M0100,T078,2026-06-30 09:01:36.561099,Engine,23053,36
M0101,T066,2026-05-25 09:01:36.561099,Tyre,7122,31
M0102,T095,2025-11-13 09:01:36.561099,Engine,18313,32
M0103,T042,2025-09-19 09:01:36.561099,Engine,14305,32
M0104,T064,2026-03-03 09:01:36.561099,Engine,22320,4
M0105,T055,2025-10-29 09:01:36.561099,Tyre,28050,39
M0106,T022,2026-09-13 09:01:36.561099,Electrical,18126,8
M0107,T084,2026-05-03 09:01:36.561099,Brake,26241,6
M0108,T080,2026-07-13 09:01:36.561099,Oil Change,20880,30
M0109,T053,2026-07-19 09:01:36.561099,Oil Change,17487,46
M0110,T015,2026-03-20 09:01:36.561099,Electrical,14729,39
M0111,T069,2025-10-22 09:01:36.561099,Brake,18728,46
M0112,T039,2026-03-21 09:01:36.561099,Oil Change,6839,45
M0113,T003,2026-07-01 09:01:36.562099,Oil Change,13349,25
M0114,T090,2026-02-24 09:01:36.562099,Electrical,13598,12
M0115,T079,2026-03-19 09:01:36.562099,Electrical,28178,8
M0116,T018,2026-04-04 09:01:36.562099,Oil Change,7689,21
M0117,T079,2025-12-31 09:01:36.562099,Electrical,19530,12
M0118,T044,2026-04-03 09:01:36.562099,Brake,20737,19
M0119,T086,2026-02-06 09:01:36.562099,Engine,26034,30
M0120,T095,2026-04-17 09:01:36.562099,Brake,19983,40
M0121,T003,2026-02-01 09:01:36.562099,Tyre,21558,32
M0122,T019,2025-11-04 09:01:36.562099,Oil Change,14862,39
M0123,T039,2026-08-15 09:01:36.562099,Oil Change,19811,41
M0124,T051,2026-01-11 09:01:36.562099,Engine,19429,2
M0125,T071,2025-11-16 09:01:36.562099,Oil Change,11059,45
M0126,T088,2026-01-05 09:01:36.563099,Tyre,19322,24
M0127,T088,2025-11-04 09:01:36.563099,Electrical,10313,27
M0128,T036,2026-08-09 09:01:36.563099,Electrical,7341,40
M0129,T065,2026-04-15 09:01:36.563099,Engine,14466,31
M0130,T032,2026-04-22 09:01:36.563099,Oil Change,18006,42
M0131,T044,2026-06-03 09:01:36.563099,Oil Change,25021,39
M0132,T069,2025-12-17 09:01:36.563099,Engine,13478,20
M0133,T100,2025-11-21 09:01:36.563099,Electrical,1916,18
M0134,T038,2026-04-08 09:01:36.563099,Engine,26963,40
M0135,T022,2025-10-12 09:01:36.563099,Electrical,27417,27
M0136,T002,2026-04-02 09:01:36.563099,Brake,4875,4
M0137,T021,2026-02-24 09:01:36.563099,Brake,16030,4
M0138,T051,2026-02-24 09:01:36.563099,Tyre,19116,40
M0139,T008,2026-09-07 09:01:36.563099,Electrical,6870,19
M0140,T069,2026-05-10 09:01:36.564099,Tyre,18042,8
M0141,T099,2026-05-26 09:01:36.564099,Engine,19228,36
M0142,T074,2025-12-06 09:01:36.564099,Brake,29669,44
M0143,T006,2026-04-01 09:01:36.564099,Oil Change,10998,44
M0144,T070,2025-12-08 09:01:36.564099,Brake,21278,40
M0145,T095,2026-01-17 09:01:36.564099,Tyre,28309,8
M0146,T071,2026-03-23 09:01:36.564099,Oil Change,29360,17
M0147,T002,2026-07-02 09:01:36.565112,Oil Change,26831,25
M0148,T002,2026-08-23 09:01:36.565112,Engine,7974,4
M0149,T087,2026-03-24 09:01:36.565112,Oil Change,25896,45
M0150,T052,2026-07-26 09:01:36.565112,Electrical,29489,40
M0151,T046,2025-10-21 09:01:36.565112,Brake,1566,24
M0152,T050,2026-04-20 09:01:36.565112,Engine,19283,18
M0153,T099,2025-12-01 09:01:36.565112,Brake,28048,30
M0154,T070,2025-10-11 09:01:36.565666,Tyre,15155,30
M0155,T073,2026-08-21 09:01:36.565666,Electrical,25942,32
M0156,T093,2026-09-07 09:01:36.565666,Engine,18393,32
M0157,T021,2026-02-16 09:01:36.565666,Engine,2023,9
M0158,T081,2026-06-04 09:01:36.565666,Oil Change,13201,46
M0159,T016,2026-08-23 09:01:36.565666,Brake,9892,20
M0160,T039,2026-05-10 09:01:36.565666,Brake,20708,40
M0161,T006,2026-02-27 09:01:36.565666,Oil Change,9986,44
M0162,T044,2026-02-12 09:01:36.565666,Electrical,14135,25
M0163,T022,2026-04-15 09:01:36.565666,Engine,13380,11
M0164,T100,2026-07-14 09:01:36.565666,Engine,11603,24
M0165,T079,2025-11-15 09:01:36.565666,Oil Change,29581,32
M0166,T018,2026-04-08 09:01:36.565666,Oil Change,26169,13
M0167,T024,2026-06-16 09:01:36.565666,Engine,20955,2
M0168,T043,2026-05-19 09:01:36.566751,Brake,21814,43
M0169,T085,2026-04-19 09:01:36.566751,Oil Change,26989,3
M0170,T034,2026-01-04 09:01:36.566751,Tyre,16741,26
M0171,T039,2025-12-13 09:01:36.566751,Tyre,23437,22
M0172,T048,2025-11-15 09:01:36.566751,Brake,20686,29
M0173,T042,2026-06-21 09:01:36.566751,Engine,28790,16
M0174,T069,2026-05-24 09:01:36.566751,Tyre,1200,33
M0175,T011,2026-07-08 09:01:36.566751,Tyre,11912,48
M0176,T045,2026-05-28 09:01:36.566751,Engine,6446,46
M0177,T077,2026-08-19 09:01:36.566751,Engine,25281,17
M0178,T051,2026-07-13 09:01:36.566751,Brake,3995,6
M0179,T092,2026-01-18 09:01:36.566751,Brake,26519,42
M0180,T019,2025-10-27 09:01:36.566751,Oil Change,17208,12
M0181,T055,2026-05-01 09:01:36.566751,Electrical,22054,36
M0182,T094,2026-05-13 09:01:36.567743,Electrical,12354,37
M0183,T042,2025-09-17 09:01:36.567743,Tyre,19158,22
M0184,T022,2026-06-16 09:01:36.567743,Electrical,22908,21
M0185,T022,2025-10-03 09:01:36.567743,Tyre,5585,47
M0186,T041,2026-07-27 09:01:36.567743,Oil Change,4789,34
M0187,T042,2026-01-09 09:01:36.567743,Tyre,21150,7
M0188,T058,2026-08-13 09:01:36.567743,Engine,12009,5
M0189,T068,2025-10-25 09:01:36.567743,Engine,12903,21
M0190,T077,2026-07-31 09:01:36.567743,Tyre,15687,31
M0191,T040,2026-05-02 09:01:36.567743,Oil Change,8547,25
M0192,T082,2026-05-30 09:01:36.567743,Tyre,26309,11
M0193,T039,2026-02-04 09:01:36.567743,Electrical,24979,48
M0194,T038,2026-07-21 09:01:36.567743,Oil Change,4902,24
M0195,T075,2026-04-16 09:01:36.567743,Electrical,16055,14
M0196,T034,2026-04-21 09:01:36.568743,Electrical,7657,4
M0197,T043,2026-05-21 09:01:36.568743,Oil Change,17729,36
M0198,T004,2026-05-26 09:01:36.568743,Brake,5089,35
M0199,T028,2026-02-13 09:01:36.568743,Engine,29634,6
M0200,T089,2026-06-06 09:01:36.568743,Brake,28049,43
M0201,T067,2025-11-13 09:01:36.568743,Brake,14995,4
M0202,T066,2026-01-17 09:01:36.568743,Electrical,18529,13
M0203,T072,2026-08-13 09:01:36.568743,Tyre,27031,13
M0204,T062,2025-12-12 09:01:36.568743,Oil Change,7432,2
M0205,T037,2025-12-06 09:01:36.568743,Oil Change,7027,22
M0206,T088,2026-08-15 09:01:36.568743,Tyre,6948,9
M0207,T057,2025-09-27 09:01:36.568743,Tyre,14388,22
M0208,T085,2026-05-31 09:01:36.568743,Tyre,24885,16
M0209,T062,2025-12-28 09:01:36.568743,Engine,4326,34
M0210,T073,2026-07-24 09:01:36.569743,Tyre,14921,45
M0211,T062,2026-06-12 09:01:36.569743,Tyre,10149,26
M0212,T064,2026-08-03 09:01:36.569743,Oil Change,15506,26
M0213,T021,2025-11-17 09:01:36.569743,Oil Change,20295,6
M0214,T040,2026-05-25 09:01:36.569743,Brake,27661,27
M0215,T018,2025-11-20 09:01:36.569743,Electrical,19860,18
M0216,T049,2025-10-29 09:01:36.569743,Oil Change,9584,23
M0217,T007,2025-11-08 09:01:36.569743,Electrical,19845,39
M0218,T004,2025-09-28 09:01:36.569743,Engine,4675,5
M0219,T069,2025-11-16 09:01:36.569743,Electrical,12150,32
M0220,T030,2025-11-25 09:01:36.569743,Engine,18409,16
M0221,T088,2025-09-19 09:01:36.569743,Tyre,6364,8
M0222,T091,2026-08-04 09:01:36.569743,Electrical,20478,28
M0223,T085,2025-12-23 09:01:36.569743,Tyre,10420,12
M0224,T084,2026-04-19 09:01:36.570743,Oil Change,10074,34
M0225,T100,2025-12-26 09:01:36.570743,Tyre,21291,44
M0226,T079,2026-01-25 09:01:36.570743,Electrical,13147,30
M0227,T022,2025-12-03 09:01:36.570743,Tyre,27997,33
M0228,T043,2025-10-26 09:01:36.570743,Electrical,12420,35
M0229,T017,2025-12-25 09:01:36.570743,Engine,28609,39
M0230,T007,2026-06-17 09:01:36.570743,Brake,3341,30
M0231,T096,2025-11-22 09:01:36.570743,Oil Change,24957,36
M0232,T078,2025-10-13 09:01:36.570743,Engine,27869,10
M0233,T039,2025-12-20 09:01:36.570743,Electrical,7145,42
M0234,T078,2026-01-28 09:01:36.570743,Engine,16142,2
M0235,T043,2025-11-23 09:01:36.570743,Electrical,10805,18
M0236,T043,2026-07-28 09:01:36.570743,Tyre,27044,15
M0237,T055,2026-01-05 09:01:36.571743,Brake,18140,27
M0238,T067,2026-07-25 09:01:36.571743,Engine,6971,48
M0239,T028,2025-10-25 09:01:36.571743,Engine,7878,35
M0240,T065,2026-03-26 09:01:36.571743,Oil Change,28817,36
M0241,T015,2026-08-06 09:01:36.571743,Electrical,9053,41
M0242,T063,2025-12-15 09:01:36.571743,Engine,10014,23
M0243,T074,2026-09-11 09:01:36.571743,Engine,25179,41
M0244,T085,2025-11-27 09:01:36.571743,Brake,28308,8
M0245,T057,2026-01-20 09:01:36.571743,Electrical,2539,25
M0246,T041,2026-07-03 09:01:36.571743,Electrical,29227,29
M0247,T055,2025-11-21 09:01:36.571743,Brake,8242,25
M0248,T012,2025-10-30 09:01:36.571743,Tyre,25396,34
M0249,T069,2026-09-06 09:01:36.571743,Oil Change,25543,2
M0250,T099,2025-10-09 09:01:36.571743,Tyre,7394,10
M0251,T087,2026-02-26 09:01:36.572743,Engine,25449,9
M0252,T016,2025-11-26 09:01:36.572743,Brake,26797,39
M0253,T011,2026-09-11 09:01:36.572743,Brake,29103,36
M0254,T017,2025-11-27 09:01:36.572743,Oil Change,11072,10
M0255,T083,2026-04-08 09:01:36.572743,Tyre,4973,17
M0256,T093,2026-02-10 09:01:36.572743,Engine,19807,5
M0257,T089,2025-12-19 09:01:36.572743,Tyre,28077,36
M0258,T013,2026-01-02 09:01:36.572743,Engine,2399,20
M0259,T042,2026-08-16 09:01:36.572743,Brake,10808,15
M0260,T092,2026-01-23 09:01:36.572743,Brake,14122,6
M0261,T044,2025-09-25 09:01:36.572743,Electrical,17259,15
M0262,T049,2026-02-23 09:01:36.572743,Brake,15413,7
M0263,T028,2025-09-28 09:01:36.572743,Tyre,17700,48
M0264,T077,2026-02-23 09:01:36.572743,Electrical,9039,15
M0265,T046,2026-05-16 09:01:36.572743,Electrical,2977,47
M0266,T001,2025-10-31 09:01:36.573743,Tyre,18843,22
M0267,T097,2026-02-08 09:01:36.573743,Engine,13016,42
M0268,T038,2026-01-29 09:01:36.573743,Brake,3816,43
M0269,T043,2026-03-03 09:01:36.573743,Oil Change,8844,39
M0270,T063,2025-11-30 09:01:36.573743,Brake,12700,24
M0271,T015,2026-07-27 09:01:36.573743,Oil Change,10508,17
M0272,T051,2025-10-04 09:01:36.573743,Electrical,2395,44
M0273,T018,2025-12-30 09:01:36.573743,Brake,16451,33
M0274,T024,2026-01-26 09:01:36.573743,Engine,29025,12
M0275,T070,2025-11-16 09:01:36.573743,Oil Change,26090,43
M0276,T049,2026-02-19 09:01:36.573743,Engine,12243,17
