trip_id,truck_id,driver_id,route_id,trip_date,distance_km,fuel_liters,load_tons,travel_time_hours,scheduled_time_hours,delivery_status
TR0001,T014,D009,R002,2025-09-19 09:01:31.024140,259,58.58,2.09,5.61,4.75,Late
TR0002,T023,D004,R004,2025-12-15 09:01:31.026141,380,107.24,3.27,7.61,6.94,Late
TR0003,T060,D020,R001,2026-05-14 09:01:31.028864,574,138.26,5.13,10.43,10.65,On Time
TR0004,T012,D018,R006,2025-11-08 09:01:31.030914,583,136.75,4.65,12.41,11.98,Late
TR0005,T044,D017,R002,2026-03-19 09:01:31.032913,233,66.79,2.49,4.88,4.67,Late
TR0006,T044,D017,R001,2026-09-11 09:01:31.034913,564,132.37,3.95,9.76,10.16,On Time
TR0007,T025,D034,R002,2026-05-16 09:01:31.035913,237,79.46,2.43,4.97,4.64,Late
TR0008,T083,D025,R005,2026-05-26 09:01:31.038914,642,184.4,3.73,10.01,11.28,On Time
TR0009,T032,D028,R007,2026-03-24 09:01:31.039914,695,181.56,4.15,14.73,13.75,Late
TR0010,T096,D011,R006,2026-05-11 09:01:31.041913,601,190.09,2.91,10.37,10.82,On Time
TR0011,T093,D023,R003,2025-09-28 09:01:31.043913,372,118.81,2.35,8.16,6.63,Late
TR0012,T028,D001,R001,2025-12-22 09:01:31.045468,594,171.26,4.25,13.19,10.63,Late
TR0013,T013,D042,R005,2026-09-09 09:01:31.047515,650,225.05,5.02,12.38,13.43,On Time
TR0014,T017,D039,R003,2026-07-14 09:01:31.049515,377,145.5,3.21,7.96,8.23,On Time
TR0015,T097,D037,R002,2026-01-14 09:01:31.050514,263,97.22,2.27,5.61,5.82,On Time
TR0016,T024,D049,R003,2026-08-14 09:01:31.052514,363,120.8,2.76,5.62,6.27,On Time
TR0017,T010,D025,R002,2025-12-02 09:01:31.054521,268,71.3,2.59,5.32,5.85,On Time
TR0018,T011,D050,R004,2025-11-04 09:01:31.056515,349,127.52,2.37,6.75,6.18,Late
TR0019,T067,D047,R003,2026-02-09 09:01:31.058515,384,112.91,2.58,8.88,7.44,Late
TR0020,T080,D017,R004,2026-06-02 09:01:31.059516,337,90.61,3.03,7.39,6.01,Late
TR0021,T034,D009,R004,2026-06-28 09:01:31.061515,376,141.23,2.0,8.29,7.74,Late
TR0022,T058,D043,R006,2025-09-20 09:01:31.063087,610,165.42,3.12,11.65,12.36,On Time
TR0023,T059,D003,R001,2025-10-31 09:01:31.065091,551,142.2,4.22,10.91,9.36,Late
TR0024,T026,D026,R003,2026-05-03 09:01:31.067084,387,141.78,3.57,7.28,8.0,On Time
TR0025,T010,D025,R006,2025-11-29 09:01:31.069086,569,200.93,5.65,13.19,11.47,Late
TR0026,T057,D012,R006,2026-04-30 09:01:31.071085,573,166.7,3.98,11.69,11.56,Late
TR0027,T064,D039,R007,2026-04-04 09:01:31.072084,704,264.57,5.05,15.79,15.44,Late
TR0028,T004,D007,R006,2025-11-20 09:01:31.074084,571,193.05,5.77,12.37,10.36,Late
TR0029,T098,D007,R002,2026-06-19 09:01:31.076084,275,66.38,2.29,5.93,5.13,Late
TR0030,T084,D022,R005,2025-10-26 09:01:31.078084,625,144.27,5.48,14.2,13.1,Late
TR0031,T012,D018,R006,2026-06-26 09:01:31.079675,596,186.49,3.31,13.33,11.92,Late
TR0032,T089,D040,R003,2025-12-09 09:01:31.080672,391,127.1,2.07,7.77,6.61,Late
TR0033,T012,D018,R005,2025-12-27 09:01:31.082672,617,205.34,5.52,15.3,13.2,Late
TR0034,T001,D015,R005,2025-12-25 09:01:31.084675,639,150.75,3.54,10.73,12.31,On Time
TR0035,T097,D037,R004,2025-12-09 09:01:31.086672,365,97.31,2.21,6.03,6.47,On Time
TR0036,T037,D026,R001,2025-10-29 09:01:31.088672,575,134.92,4.3,9.48,11.0,On Time
TR0037,T031,D031,R008,2026-07-31 09:01:31.090672,309,109.7,2.21,6.21,5.8,Late
TR0038,T015,D038,R003,2026-04-20 09:01:31.091672,389,88.53,2.97,6.48,7.11,On Time
TR0039,T035,D029,R006,2025-12-08 09:01:31.093671,592,141.99,2.57,9.4,9.92,On Time
TR0040,T025,D034,R001,2026-08-12 09:01:31.095672,605,163.57,3.04,9.74,10.77,On Time
TR0041,T054,D038,R001,2026-04-25 09:01:31.097256,568,130.02,4.74,12.72,10.8,Late
TR0042,T076,D016,R006,2025-12-15 09:01:31.099254,603,134.07,3.92,10.48,11.52,On Time
TR0043,T043,D027,R001,2026-06-12 09:01:31.101254,582,144.57,5.7,14.05,11.49,Late
TR0044,T031,D031,R003,2026-04-07 09:01:31.102254,396,121.25,3.41,6.95,6.85,Late
TR0045,T091,D025,R002,2025-10-18 09:01:31.104254,290,70.34,2.61,6.37,5.71,Late
TR0046,T064,D039,R007,2026-07-27 09:01:31.106254,678,246.32,6.42,11.2,11.4,On Time
TR0047,T057,D012,R005,2026-02-19 09:01:31.108254,603,169.77,5.72,13.25,11.63,Late
TR0048,T020,D033,R005,2025-09-27 09:01:31.109254,601,174.76,3.7,9.94,10.09,On Time
TR0049,T011,D050,R007,2026-04-07 09:01:31.111254,730,231.22,5.17,14.08,13.24,Late
TR0050,T098,D007,R007,2025-10-28 09:01:31.112756,707,166.56,5.46,13.63,15.53,On Time
TR0051,T037,D026,R002,2025-10-27 09:01:31.114830,246,61.6,2.44,4.25,4.78,On Time
TR0052,T013,D042,R006,2026-04-03 09:01:31.116830,594,209.69,5.15,10.34,12.0,On Time
TR0053,T038,D030,R001,2025-12-01 09:01:31.118830,569,175.09,4.57,12.81,12.06,Late
TR0054,T024,D049,R007,2025-10-02 09:01:31.119839,686,240.69,3.22,12.71,12.67,Late
TR0055,T075,D027,R006,2025-10-10 09:01:31.121834,575,193.97,2.04,10.9,10.54,Late
TR0056,T060,D020,R008,2026-03-24 09:01:31.123830,321,104.38,2.93,5.3,6.03,On Time
TR0057,T039,D013,R002,2026-04-15 09:01:31.125831,272,61.48,2.12,5.07,4.91,Late
TR0058,T050,D014,R006,2025-11-26 09:01:31.126830,620,178.86,3.17,13.78,12.77,Late
TR0059,T090,D042,R002,2026-09-12 09:01:31.129435,250,98.28,2.35,4.39,4.35,Late
TR0060,T088,D043,R005,2026-01-05 09:01:31.131499,646,161.93,5.56,15.43,14.12,Late
TR0061,T037,D026,R001,2025-10-26 09:01:31.133487,596,145.45,2.72,10.92,11.02,On Time
TR0062,T033,D026,R006,2026-07-08 09:01:31.134486,609,151.83,4.49,12.1,10.78,Late
TR0063,T081,D018,R004,2026-03-14 09:01:31.136489,375,145.41,3.2,5.7,6.6,On Time
TR0064,T012,D018,R005,2026-07-11 09:01:31.138488,655,211.96,5.36,10.72,11.65,On Time
TR0065,T047,D016,R003,2026-01-13 09:01:31.140484,393,112.17,3.84,7.34,8.01,On Time
TR0066,T038,D030,R002,2026-08-09 09:01:31.141483,279,65.79,2.09,5.07,4.89,Late
TR0067,T029,D003,R005,2025-12-05 09:01:31.143483,652,169.23,3.56,11.94,11.83,Late
TR0068,T051,D041,R003,2025-10-07 09:01:31.145484,360,118.85,2.5,7.66,7.68,On Time
TR0069,T049,D007,R007,2026-01-18 09:01:31.147281,728,192.74,2.13,16.13,14.4,Late
TR0070,T072,D043,R002,2026-01-22 09:01:31.149274,252,58.19,2.56,4.57,5.22,On Time
TR0071,T039,D013,R007,2026-04-14 09:01:31.151273,717,216.19,7.04,18.7,15.22,Late
TR0072,T015,D038,R001,2026-03-11 09:01:31.152273,553,186.22,4.53,10.48,10.42,Late
TR0073,T096,D011,R007,2026-06-29 09:01:31.154279,720,163.94,6.48,16.1,14.04,Late
TR0074,T084,D022,R007,2026-04-26 09:01:31.156273,682,163.65,2.17,15.41,12.57,Late
TR0075,T048,D043,R006,2026-07-28 09:01:31.158273,579,170.96,5.88,11.65,9.77,Late
TR0076,T048,D043,R002,2026-04-28 09:01:31.159273,266,61.81,2.12,4.26,4.87,On Time
TR0077,T016,D049,R001,2025-10-23 09:01:31.161273,607,144.66,4.41,13.06,11.71,Late
TR0078,T003,D018,R004,2025-12-01 09:01:31.163063,337,82.73,2.34,6.24,6.93,On Time
TR0079,T098,D007,R008,2026-04-01 09:01:31.165178,299,102.6,2.73,7.43,6.2,Late
