truck_id,truck_type,truck_age_years,total_mileage_km,capacity_tons,purchase_date,fuel_type,driver_id,status
T001,Light,7,27811,5,2019-09-19 09:01:31.009140,Diesel,D015,Active
T002,Light,9,207700,20,2017-09-19 09:01:31.009140,Diesel,D029,Active
T003,Light,1,203013,20,2025-09-17 09:01:31.009140,CNG,D018,Active
T004,Medium,4,46793,5,2022-09-18 09:01:31.009140,CNG,D007,Active
T005,Heavy,6,89342,5,2020-09-18 09:01:31.009140,CNG,D035,Active
T006,Light,7,164714,15,2019-09-19 09:01:31.009140,CNG,D037,Active
T007,Light,12,32012,10,2014-09-20 09:01:31.009140,CNG,D006,Active
T008,Medium,2,92869,20,2024-09-17 09:01:31.009140,CNG,D011,Active
T009,Light,6,195682,15,2020-09-18 09:01:31.009140,Diesel,D039,Active
T010,Heavy,9,84175,10,2017-09-19 09:01:31.009140,CNG,D025,Active
T011,Heavy,11,166001,10,2015-09-20 09:01:31.009140,CNG,D050,Active
T012,Light,4,231037,15,2022-09-18 09:01:31.009140,CNG,D018,Active
T013,Heavy,4,249734,15,2022-09-18 09:01:31.009140,Diesel,D042,Inactive
T014,Heavy,7,140285,10,2019-09-19 09:01:31.009140,CNG,D009,Active
T015,Heavy,12,161289,15,2014-09-20 09:01:31.009140,CNG,D038,Inactive
T016,Light,6,56262,20,2020-09-18 09:01:31.009140,Diesel,D049,Active
T017,Light,2,184481,10,2024-09-17 09:01:31.009140,CNG,D039,Active
T018,Medium,7,176208,20,2019-09-19 09:01:31.009140,CNG,D036,Active
T019,Heavy,11,50029,15,2015-09-20 09:01:31.009140,CNG,D008,Active
T020,Light,7,138940,5,2019-09-19 09:01:31.009140,CNG,D033,Active
T021,Light,9,248201,15,2017-09-19 09:01:31.009140,Diesel,D010,Active
T022,Heavy,3,224112,5,2023-09-18 09:01:31.009140,CNG,D032,Active
T023,Medium,2,238016,15,2024-09-17 09:01:31.009140,Diesel,D004,Active
T024,Light,10,42453,20,2016-09-19 09:01:31.009140,Diesel,D049,Active
T025,Heavy,3,144592,10,2023-09-18 09:01:31.009140,CNG,D034,Inactive
T026,Heavy,4,217988,10,2022-09-18 09:01:31.009140,CNG,D026,Active
T027,Heavy,8,138354,5,2018-09-19 09:01:31.009140,Diesel,D015,Active
T028,Light,6,174221,10,2020-09-18 09:01:31.009140,Diesel,D001,Active
T029,Heavy,12,35433,10,2014-09-20 09:01:31.009140,Diesel,D003,Active
T030,Heavy,2,82391,15,2024-09-17 09:01:31.009140,CNG,D014,Active
T031,Heavy,12,171050,20,2014-09-20 09:01:31.009140,Diesel,D031,Inactive
T032,Light,4,45409,20,2022-09-18 09:01:31.009140,CNG,D028,Inactive
T033,Heavy,8,34200,5,2018-09-19 09:01:31.009140,Diesel,D026,Active
T034,Light,2,70224,10,2024-09-17 09:01:31.009140,CNG,D009,Inactive
T035,Medium,3,141275,10,2023-09-18 09:01:31.009140,Diesel,D029,Active
T036,Heavy,1,161711,5,2025-09-17 09:01:31.009140,Diesel,D049,Active
